,keyword,ratio_2months_ago,ratio_last_month,ratio_change
0,컴퓨터의자,50.8456,81.7693,30.923700000000004
1,게이밍의자,63.63076,85.58059,21.94983
2,사무용의자,48.74724,67.70329,18.956049999999998
3,사무용책상,16.01099,27.53348,11.522490000000001
4,책상의자,27.20898,31.43245,4.223469999999999
5,독서실책상,38.97274,42.40916,3.4364199999999983
6,사무실책상,10.80802,13.66161,2.8535899999999987
7,리프트테이블,10.9242,12.57459,1.6503899999999998
8,이케아책상,15.71396,17.30203,1.5880699999999983
9,책상파티션,7.25283,8.65683,1.403999999999999
10,책상가림막,4.70691,5.38591,0.6790000000000003
11,조립식테이블,0.66981,1.23106,0.56125
12,독서실칸막이,2.16706,2.72695,0.5598899999999998
13,일자형책상,2.21858,2.76363,0.5450499999999998
14,칸막이,6.31326,6.77176,0.4584999999999999
15,책상서랍장,8.841,9.27594,0.434940000000001
16,좁은테이블,2.38629,2.51939,0.13310000000000022
17,퍼시스의자,6.2577,6.362,0.10430000000000028
18,조립책상,0.70214,0.78194,0.07979999999999998
19,사무실테이블,1.8377,1.9137,0.07600000000000007
20,두닷,2.1317,2.20357,0.0718700000000001
21,접이식컴퓨터책상,0.23337,0.30329,0.06992000000000001
22,칸막이책상,0.95774,1.01813,0.060389999999999944
23,넓은책상,0.6294,0.68889,0.05949000000000004
24,ㄱ컴퓨터책상,0.07577,0.12793,0.052159999999999984
25,게이밍테이블,0.58697,0.63879,0.05181999999999998
26,컴퓨터프린터책상,0.30409,0.35428,0.05018999999999996
27,주방테이블,0.5011,0.55111,0.05001
28,선반형책상,0.65062,0.69873,0.048109999999999986
29,1인용학원책상,0.18286,0.23082,0.04796
30,회사책상,0.11416,0.16193,0.04776999999999999
31,소프시스컴퓨터책상,0.1182,0.16283,0.04463
32,l책상,0.18993,0.22008,0.03015000000000001
33,2인컴퓨터책상,1.14162,1.16933,0.0277099999999999
34,pc테이블,0.16265,0.18698,0.02433000000000002
35,코멧책상,0.12022,0.14404,0.023820000000000008
36,소프시스의자,0.05253,0.07515,0.022619999999999994
37,1인책상의자세트,0.00707,0.02952,0.02245
38,게이밍데스크,1.9458,1.96648,0.02068000000000003
39,독서칸막이,0.05455,0.07515,0.020599999999999993
40,수납형책상,0.3243,0.34176,0.01746000000000003
41,학생책상의자세트,0.03637,0.05368,0.01731
42,철재책상,0.00808,0.02505,0.01697
43,책상소프시스,0.00808,0.02415,0.01607
44,식탁책상,0.099,0.11272,0.013719999999999996
45,큰책상,0.39906,0.41154,0.012479999999999991
46,멀티책상,0.13335,0.14583,0.012479999999999991
47,듀얼모니터받침대,0.00303,0.0152,0.01217
48,위더스책상,0.02222,0.0322,0.00998
49,코멧멀티책상,0.0788,0.08857,0.009770000000000001
50,computertable,0.00202,0.01163,0.00961
51,소프시스독서실책상,0.18387,0.19324,0.00936999999999999
52,컴퓨터책상70,0.01616,0.02505,0.008889999999999999
53,소프시스위더스멀티책상,0.02828,0.03668,0.008399999999999998
54,데스크,1.54472,1.55135,0.006629999999999914
55,책상2인,0.03434,0.04026,0.005919999999999995
56,책상칸막이가림막,0.00404,0.00984,0.0058
57,높이,0.00202,0.00715,0.00513
58,책상완제품,0.00303,0.00805,0.00502
59,방송용책상,0.04344,0.04831,0.004869999999999999
60,gamingchair,0.02828,0.0331,0.004819999999999998
61,소프시스메이저,0.0596,0.06441,0.004809999999999995
62,코멧플러스데스크,0.00505,0.00984,0.00479
63,가벼운게이밍책상,0.00202,0.00536,0.00334
64,일자책상,0.64355,0.64684,0.003290000000000015
65,일인용독서실,0.00808,0.01073,0.0026499999999999996
66,코멧멀티책상콘솔,0.00202,0.00447,0.00245
67,컴퓨터책상80,0.01919,0.02147,0.0022800000000000008
68,컴책상,0.06061,0.06262,0.002009999999999998
69,나무조립의자,0.00101,0.00268,0.00167
70,컴퓨터책상서랍장,0.01818,0.01968,0.0014999999999999979
71,가로책상,0.01212,0.01342,0.001299999999999999
72,심플랙스멀티책상,0.00101,0.00178,0.0007699999999999999
73,소프시스티크,0.00101,0.00178,0.0007699999999999999
74,소프시스스터디,0.00202,0.00268,0.00066
75,모니터책상,0.00303,0.00357,0.0005399999999999997
76,일자데스크,0.00404,0.00447,0.0004299999999999998
77,접이식,0.17679,0.17714,0.0003499999999999892
78,블루밍책상,0.00707,0.00715,8.000000000000021e-05
79,소프시스위더스컴퓨터책상,0.01515,0.0152,4.99999999999997e-05
80,다다재접이식다용도테이블,0.00808,0.00805,-3.0000000000000512e-05
81,책상80,0.04142,0.04115,-0.0002699999999999994
82,컴퓨터책상설치,0.00404,0.00357,-0.00047000000000000037
83,사무테이블,0.04445,0.04383,-0.0006200000000000025
84,소프시스led바조명,0.00202,0.00089,-0.0011300000000000001
85,화이트학생책상,0.00202,0.00089,-0.0011300000000000001
86,독서실책상높이조절,0.00202,0.00089,-0.0011300000000000001
87,코멧가구,0.00303,0.00178,-0.0012500000000000002
88,소프시스언더랙책상,0.01111,0.00984,-0.0012700000000000003
89,입식책상,0.24246,0.24066,-0.001799999999999996
90,사무용포밍테이블,0.00909,0.00715,-0.0019400000000000008
91,컴퓨터책상1인,0.02626,0.02415,-0.0021099999999999973
92,독서실책상led,0.00404,0.00089,-0.00315
93,소프시스접이식,0.10709,0.10378,-0.0033100000000000074
94,프레임책상,0.0303,0.02684,-0.0034600000000000013
95,도서관책상,0.98502,0.98145,-0.003569999999999962
96,우드미가구바오,0.00909,0.00536,-0.0037300000000000007
97,게이밍컴퓨터책상의자세트,0.00707,0.00268,-0.00439
