,keyword,impression,clicks,spending,ccnt,convamt,ROAS,campaign
0,)소프시스위더스멀티책상,1,1,213,1,39900,187.32394366197184,책상
1,-테이블,1,1,166,1,32900,198.19277108433735,책상
2,10인용테이블,7,3,1537,4,199600,129.8633702016916,책상
3,1인독서실책상,19010,855,214820,13,1148800,5.347732985755516,책상
4,1인독서실책상의자세트,185,20,6390,2,169800,26.572769953051644,책상
5,1인독서책상,163,26,5802,1,84900,14.632885211995864,책상
6,1인식탁,202,20,3967,1,31910,8.043861860347869,책상
7,1인용의자,17,3,1071,1,89900,83.94024276377218,책상
8,1인용컴퓨터책상의자세트,189,25,13071,1,49900,3.8176115063881877,책상
9,1인용학원책상,104,19,4712,1,87900,18.654499151103565,책상
10,1인책상의자세트,3733,212,36551,3,153700,4.2050833082542205,책상
11,1인컴퓨터책상,1191,132,56868,7,258340,4.542800872195259,책상
12,1인테이블,910,67,13873,2,65800,4.7430260217689035,책상
13,2인식탁,240,17,1904,1,32900,17.279411764705884,책상
14,2인용식탁,152,12,1692,1,39900,23.581560283687942,책상
15,2인용책상,2309,137,29802,2,99800,3.3487685390242268,책상
16,2인책상,1763,114,23684,2,79800,3.3693632832291844,책상
17,2인컴퓨터책상,164,35,10257,2,79800,7.780052646972799,책상
18,6인용테이블,13,3,446,2,99800,223.76681614349775,책상
19,6인테이블,14,5,1274,1,49900,39.167974882260594,책상
20,L자형책상,31,11,3363,1,49900,14.837942313410645,책상
21,L책상,115,16,4010,1,89900,22.418952618453865,책상
22,L형책상,73,16,3551,1,64900,18.276541819205857,책상
23,Pctable,2,1,861,1,39900,46.34146341463415,책상
24,Table,459,36,9152,1,49900,5.45236013986014,책상
25,cm책상,59,13,4415,1,64900,14.699886749716875,책상
26,computertable,1786,85,20463,2,117800,5.7567316620241415,책상
27,cortkd,223,22,7079,2,82800,11.696567311767199,책상
28,diy책상,68,7,2643,1,49900,18.880060537268257,책상
29,gamingchair,3,1,375,1,49900,133.06666666666666,책상
30,h책상,348,36,9016,1,89900,9.971162377994677,책상
31,h형책상,3768,212,51915,2,179800,3.463353558701724,책상
32,h형철제책상,2,2,284,1,39900,140.49295774647888,책상
33,l자형책상,541,42,10507,1,91900,8.746549919101552,책상
34,pc테이블,178,37,16023,1,49900,3.1142732322286713,책상
35,tableextension,2,2,983,1,32900,33.46897253306206,책상
36,x,231,60,15904,1,49900,3.137575452716298,책상
37,x노트북책상,12,4,2391,1,61800,25.846925972396487,책상
38,ㄱ컴퓨터책상,13,2,291,1,49900,171.47766323024055,책상
39,가구,237,17,3954,1,89900,22.736469398077897,책상
40,가꿈독서실책상,1,1,210,1,49900,237.61904761904762,책상
41,가로책상,147,35,7688,1,32900,4.27939646201873,책상
42,가벼운게이밍책상,3,1,438,1,49900,113.9269406392694,책상
43,게이밍데스크,60,12,5455,1,49900,9.14757103574702,책상
44,게이밍의자,255,24,15699,3,269700,17.179438180775847,책상
45,게이밍컴퓨터책상의자세트,6,2,1418,1,89900,63.39915373765867,책상
46,게이밍테이블,551,32,14318,1,49900,3.4851236206174048,책상
47,고등학생독서실책상,1,1,678,1,87900,129.64601769911505,책상
48,기역책상,58,7,1384,1,67900,49.0606936416185,책상
49,나무조립의자,2,1,444,1,39900,89.86486486486487,책상
50,넓은책상,465,62,17260,2,129800,7.5202780996523755,책상
51,노트북책상의자,9,3,1153,1,32900,28.534258456201215,책상
52,높이,34,11,2662,1,39900,14.988730277986477,책상
53,다다재접이식다용도테이블,4,3,2030,1,49900,24.58128078817734,책상
54,다용도테이블,239,21,6200,1,49900,8.048387096774194,책상
55,더조아모던테이블,59,16,3994,2,65800,16.474712068102153,책상
56,데스커책상x,4,3,903,1,89900,99.55703211517165,책상
57,데스크,3749,148,43167,3,149700,3.467926888595455,책상
58,데스크조립,1,1,258,1,64900,251.5503875968992,책상
59,도서관책상,2855,202,34842,3,229700,6.5926181045864185,책상
60,독서실책상,135156,4740,1015082,51,4312900,4.248819307208679,책상
61,독서실책상led,425,39,15963,1,49900,3.1259788260352064,책상
62,독서실책상높이조절,7,3,1693,2,175800,103.83933845245127,책상
63,독서실칸막이,9353,454,70303,11,589900,8.390822582251113,책상
64,독서칸막이,46,11,1287,1,49900,38.77233877233877,책상
65,동서가구책상,465,41,7511,1,92900,12.36852616162961,책상
66,두닷,297,24,4921,2,129800,26.376752692542166,책상
67,듀얼모니터받침대,5,1,293,1,61800,210.92150170648463,책상
68,듀얼컴퓨터책상,2,2,1630,1,49900,30.613496932515336,책상
69,리프트테이블,44,8,1879,1,49900,26.55667908461948,책상
70,멀티책상,619,89,26537,2,89800,3.3839544786524476,책상
71,메이저데스크,4,2,318,1,32900,103.45911949685535,책상
72,메이저컴퓨터데스크,62,21,7866,4,287600,36.562420544113905,책상
73,모니터책상,31,11,2535,1,49900,19.684418145956606,책상
74,미팅테이블,1,1,578,1,39900,69.03114186851211,책상
75,바닥용컴퓨터책상,1,1,1063,1,39900,37.53527751646284,책상
76,바퀴테이블,740,49,8465,1,39900,4.713526284701713,책상
77,방송용책상,9,3,1422,1,49900,35.09142053445851,책상
78,베스트렉책상,17,2,352,1,32900,93.4659090909091,책상
79,베스트리빙베이직멀티h형철제책상세트,1,1,500,1,67900,135.8,책상
80,벽테이블,106,15,3181,1,49900,15.686890914806664,책상
81,브레인칸막이책상,1,1,156,1,54900,351.9230769230769,책상
82,블루밍책상,8,5,3333,1,39900,11.971197119711972,책상
83,블루밍홈아린스터디1인독서실책상,2,2,573,1,87900,153.40314136125656,책상
84,사무실책상,6561,231,88956,12,568800,6.394172399838122,책상
85,사무실테이블,734,47,13985,3,139700,9.989274222381123,책상
86,사무용의자,133,18,15614,1,49900,3.195849878314333,책상
87,사무용책상,23616,661,278357,20,945010,3.3949568360055613,책상
88,사무용테이블,346,29,12277,1,49900,4.064510873992018,책상
89,사무용포밍테이블,1,1,129,6,239400,1855.8139534883721,책상
90,사무책상,402,48,21285,1,67900,3.1900399342259806,책상
91,사무테이블,53,10,2338,1,49900,21.343028229255776,책상
92,사장실책상,2,1,545,1,49900,91.55963302752293,책상
93,서랍책상,1531,110,23144,2,154800,6.688558589699274,책상
94,선반형책상,733,63,12807,1,89900,7.019598656984462,책상
95,소프시스,22275,838,187729,27,1205210,6.419945772896036,책상
96,소프시스led바조명,4,1,270,1,87900,325.55555555555554,책상
97,소프시스독서실책상,69,20,3505,1,84900,24.2225392296719,책상
98,소프시스메이저,43,11,2298,1,64900,28.24194952132289,책상
99,소프시스베이직데스크,1,1,354,1,32900,92.93785310734464,책상
100,소프시스스터디,3,2,458,1,87900,191.92139737991266,책상
101,소프시스스터디책상,8,3,782,1,84900,108.56777493606138,책상
102,소프시스알파,113,21,4259,1,89900,21.1082413712139,책상
103,소프시스언더랙책상,49,12,2160,1,87900,40.69444444444444,책상
104,소프시스위더스,480,77,21139,10,472910,22.371446142201616,책상
105,소프시스위더스멀티책상,289,109,21642,23,1054540,48.726550226411604,책상
106,소프시스위더스책상,38,12,2676,3,244700,91.4424514200299,책상
107,소프시스위더스컴퓨터책상,34,15,3048,1,89900,29.49475065616798,책상
108,소프시스의자,142,22,8983,2,129800,14.449515751975955,책상
109,소프시스접이식,64,11,3139,1,39900,12.711054475947755,책상
110,소프시스좌식책상,50,18,2367,1,39900,16.85678073510773,책상
111,소프시스책상,32087,1680,353111,104,4921450,13.937402120013253,책상
112,소프시스컴퓨터책상,400,77,21363,1,89900,4.208210457332772,책상
113,소프시스테이블,693,56,19180,3,112700,5.875912408759124,책상
114,소프시스티크,7,2,473,1,49900,105.4968287526427,책상
115,소프시프,1,1,182,1,49900,274.1758241758242,책상
116,소프트시스,1,1,171,1,32900,192.39766081871346,책상
117,소피시스위더스컴퓨터책상,2,2,528,1,67900,128.59848484848484,책상
118,소형컴퓨터책상,155,32,8229,1,32900,3.9980556568234293,책상
119,수납책상,2708,161,26597,2,129800,4.880249652216415,책상
120,수납형책상,185,21,4078,1,64900,15.914664051005396,책상
121,스터디책상,722,84,18864,1,87900,4.659669211195928,책상
122,식탁책상,28,4,1052,1,39900,37.9277566539924,책상
123,심플랙스멀티책상,4,1,109,1,32900,301.8348623853211,책상
124,아동책상,690,73,8159,1,32900,4.0323569064836375,책상
125,에이픽스,23,6,2239,1,89900,40.151853506029475,책상
126,우드미가구바오,7,3,916,1,32900,35.917030567685586,책상
127,원목테이블,26,6,1874,1,39900,21.29135538954109,책상
128,위더스책상,11,7,2151,4,199600,92.79404927940493,책상
129,이케아책상,17283,559,129633,9,565100,4.359229517175411,책상
130,이케아탁자,54,9,1729,1,39900,23.076923076923077,책상
131,이케아테이블,572,41,7245,1,39900,5.507246376811594,책상
132,일인용독서실,3,2,444,1,87900,197.97297297297297,책상
133,일자데스크,9,2,2045,1,67900,33.20293398533008,책상
134,일자책상,198,43,13898,1,49900,3.5904446682975966,책상
135,일자책상화이트,2,1,336,1,32900,97.91666666666667,책상
136,일자형책상,155,27,7646,3,149700,19.57886476589066,책상
137,입식식탁,29,5,839,1,39900,47.55661501787843,책상
138,입식책상,437,54,12162,3,115700,9.513237954283834,책상
139,입식컴퓨터책상,31,5,2186,1,32900,15.05032021957914,책상
140,작은책상,6076,382,95573,10,380040,3.9764368597825746,책상
141,재택근무책상,161,24,4982,2,101700,20.41348855881172,책상
142,접이식,8,3,442,2,79800,180.54298642533936,책상
143,접이식좌식컴퓨터책상,13,3,1514,1,32900,21.730515191545575,책상
144,접이식컴퓨터책상,430,51,18569,3,119700,6.4462275836070875,책상
145,접이책상,45,12,4636,3,119700,25.81967213114754,책상
146,조립식책상,18284,704,272135,24,1194410,4.389034854024657,책상
147,조립식컴터책상,1,1,1506,1,49900,33.134130146082335,책상
148,조립식테이블,281,35,10463,2,179800,17.18436394915416,책상
149,조립책상,1165,91,33288,2,117800,3.538812785388128,책상
150,조립형책상,123,28,9485,1,89900,9.478123352662099,책상
151,좁고긴테이블,1274,87,13816,4,199600,14.447017950202664,책상
