keyword,period,ratio
심플책상,2023-08-01,0.6571
심플책상,2023-08-02,0.47789
심플책상,2023-08-04,1.07526
심플책상,2023-08-05,1.25448
심플책상,2023-08-06,1.25448
심플책상,2023-08-07,1.07526
심플책상,2023-08-08,1.25448
심플책상,2023-08-09,1.135
심플책상,2023-08-10,1.31421
심플책상,2023-08-11,0.89605
심플책상,2023-08-12,2.03106
심플책상,2023-08-13,1.07526
심플책상,2023-08-14,1.85185
심플책상,2023-08-15,0.6571
심플책상,2023-08-16,1.19474
심플책상,2023-08-17,1.37395
심플책상,2023-08-18,1.07526
심플책상,2023-08-19,1.25448
심플책상,2023-08-20,1.43369
심플책상,2023-08-21,0.35842
심플책상,2023-08-22,1.49342
심플책상,2023-08-23,1.73237
심플책상,2023-08-24,0.41816
심플책상,2023-08-25,0.6571
심플책상,2023-08-26,0.6571
심플책상,2023-08-27,2.7479
심플책상,2023-08-28,0.89605
심플책상,2023-08-29,0.59737
심플책상,2023-08-30,1.43369
심플책상,2023-08-31,0.89605
심플책상,2023-09-01,1.135
심플책상,2023-09-02,0.53763
심플책상,2023-09-03,0.59737
심플책상,2023-09-04,0.6571
심플책상,2023-09-05,0.83632
심플책상,2023-09-06,1.19474
심플책상,2023-09-07,1.43369
심플책상,2023-09-08,1.01553
심플책상,2023-09-09,1.07526
심플책상,2023-09-10,0.41816
심플책상,2023-09-11,0.95579
심플책상,2023-09-12,0.71684
심플책상,2023-09-13,0.6571
심플책상,2023-09-14,0.89605
심플책상,2023-09-15,0.89605
심플책상,2023-09-16,1.01553
심플책상,2023-09-17,1.73237
심플책상,2023-09-18,1.43369
심플책상,2023-09-19,1.49342
심플책상,2023-09-20,0.53763
심플책상,2023-09-21,2.27001
심플책상,2023-09-22,1.135
심플책상,2023-09-23,1.79211
심플책상,2023-09-24,0.71684
심플책상,2023-09-25,0.47789
심플책상,2023-09-26,0.29868
심플책상,2023-09-27,0.53763
심플책상,2023-09-28,0.77658
심플책상,2023-09-29,0.47789
심플책상,2023-09-30,0.05973
서재책상,2023-08-01,8.60215
서재책상,2023-08-02,12.66427
서재책상,2023-08-03,9.73715
서재책상,2023-08-04,10.81242
서재책상,2023-08-05,11.52927
서재책상,2023-08-06,14.87455
서재책상,2023-08-07,12.30585
서재책상,2023-08-08,12.78375
서재책상,2023-08-09,13.20191
서재책상,2023-08-10,14.21744
서재책상,2023-08-11,8.48267
서재책상,2023-08-12,15.29271
서재책상,2023-08-13,12.12664
서재책상,2023-08-14,13.6798
서재책상,2023-08-15,15.17323
서재책상,2023-08-16,10.69295
서재책상,2023-08-17,9.25925
서재책상,2023-08-18,10.57347
서재책상,2023-08-19,10.33452
서재책상,2023-08-20,10.99163
서재책상,2023-08-21,10.21505
서재책상,2023-08-22,9.19952
서재책상,2023-08-23,11.94743
서재책상,2023-08-24,9.02031
서재책상,2023-08-25,6.45161
서재책상,2023-08-26,6.15292
서재책상,2023-08-27,13.91875
서재책상,2023-08-28,9.08004
서재책상,2023-08-29,12.84348
서재책상,2023-08-30,9.31899
서재책상,2023-08-31,10.27479
서재책상,2023-09-01,9.55794
서재책상,2023-09-02,8.42293
서재책상,2023-09-03,14.1577
서재책상,2023-09-04,9.67741
서재책상,2023-09-05,11.35005
서재책상,2023-09-06,10.39426
서재책상,2023-09-07,11.35005
서재책상,2023-09-08,11.64874
