,date,campaign,sku name,conversion_name,keyword,impression,clicks,spending,ccnt,convamt
131158,2023-11-23,책상,"소프시스 위더스 멀티책상 1260,티크판넬 + 블랙프레임,1200 x 600 x 720mm","소프시스 위더스 멀티책상 1260,티크판넬 + 블랙프레임,1200 x 600 x 720mm",1000 책상,5,1,135,0,0
131159,2023-11-23,책상,"소프시스 위더스 멀티책상 1260,티크판넬 + 화이트프레임,1200 x 600 x 720mm","소프시스 위더스 멀티책상 1260,티크판넬 + 화이트프레임,1200 x 600 x 720mm",1000 책상,14,1,260,0,0
131160,2023-11-23,책상,"소프시스 위더스 랙 컴퓨터 책상 1060,티크판넬 + 화이트프레임","소프시스 위더스 랙 컴퓨터 책상 1060,티크판넬 + 화이트프레임",1000 책상,51,1,493,0,0
131161,2023-11-23,책상,"소프시스 위더스 멀티책상 860,티크판넬 + 블랙프레임,800 x 600 x 720mm","소프시스 위더스 멀티책상 860,티크판넬 + 블랙프레임,800 x 600 x 720mm",1000*800,4,1,101,0,0
131162,2023-11-23,책상,"소프시스 스터디 브레인 칸막이 책상,화이트","소프시스 스터디 브레인 칸막이 책상,화이트",1000책상,2,1,100,0,0
131163,2023-11-23,책상,"소프시스 위더스 랙 컴퓨터 책상 1060,티크판넬 + 화이트프레임","소프시스 위더스 랙 컴퓨터 책상 1060,티크판넬 + 화이트프레임",1060책상,5,1,100,0,0
131164,2023-11-23,책상,"소프시스 위더스 랙 컴퓨터 책상 1060,티크판넬 + 화이트프레임","소프시스 위더스 랙 컴퓨터 책상 1060,티크판넬 + 화이트프레임",1100 책상,10,2,623,0,0
131165,2023-11-23,책상,"소프시스 위더스 멀티책상 1260,티크판넬 + 블랙프레임,1200 x 600 x 720mm","소프시스 위더스 멀티책상 1260,티크판넬 + 블랙프레임,1200 x 600 x 720mm",120 책상,5,1,301,0,0
131166,2023-11-23,책상,"소프시스 위더스 멀티책상 1460,티크판넬 + 화이트프레임,1400 x 600 x 720mm","소프시스 위더스 멀티책상 1460,티크판넬 + 화이트프레임,1400 x 600 x 720mm",1200 400 테이블,11,2,605,0,0
131167,2023-11-23,책상,"소프시스 위더스 멀티책상 1260,티크판넬 + 블랙프레임,1200 x 600 x 720mm","소프시스 위더스 멀티책상 1260,티크판넬 + 블랙프레임,1200 x 600 x 720mm",1200 600 테이블,6,1,620,0,0
131168,2023-11-23,책상,"소프시스 위더스 멀티책상 1260,티크판넬 + 화이트프레임,1200 x 600 x 720mm","소프시스 위더스 멀티책상 1260,티크판넬 + 화이트프레임,1200 x 600 x 720mm",1200 600 테이블,11,2,1172,0,0
